Koda,Besedilo
CART_TITLE,Košarica
SMALL_CART_TITLE,"Vaša košarica"
PRODUCTS_TITLE,Katalog
LATEST_PRODUCTS_TITLE,"Novo v ponudbi"
RELATED_PRODUCTS_TITLE,"Sorodni izdelki"
TOP_SELLERS_TITLE,"TOP Izdelkov"
PRODUCTS_RECOMMENDED_TITLE,Priporočamo
ONE_PAGE_CHECKOUT_TITLE,"Ena stran za oddajo naročila"
CHECKOUT_LOGIN_TITLE,"Naročanje :: Registracija"
CHECKOUT_INFO_TITLE,"Naročanje :: Podatki o kupcu"
CHECKOUT_PAYMENT_TITLE,"Naročanje :: Način plačila"
CHECKOUT_CONFIRM_TITLE,"Naročanje :: Potrdilo"
CHECKOUT_FINAL_TITLE,"Naročanje :: Dokončanje"
CHANGES_LOG_TITLE,"Seznam sprememb"
COMPARE_TITLE,"Primerjava izdelkov"
CUSTOMERS_WHO_BOUGHT_TITLE,"S tem izdelkom naročajo"
PRODUCT_MSG,Izdelek
PRICES_MSG,"Matrica cen"
OUR_PRICE_MSG,"Cena zdaj"
YOU_SAVE_MSG,Prihranite
PROD_OPTIONS_MSG,Opcije
PROD_SUBCOMPONENTS_MSG,Podkomponente
OPTIONS_AND_COMPONENTS_MSG,"Opcije in Komponente"
PROD_AVAILABILITY_MSG,Dostava
PROD_HIGHLIGHT_MSG,Značilnosti
PROD_SUPER_IMAGE_MSG,"Povečati  sliko"
PROD_PREVIEW_MSG,Pogledati
PROD_PREVIEW_CLICK_MSG,"Za ogled kliknite tukaj"
PROD_DESCRIPTION_MSG,Opis
PROD_SPECIFICATION_MSG,Specifikacija
PROD_IMAGES_MSG,"Dodatne fotografije"
PROD_ACCESSORIES_MSG,Dodatki
PROD_NOTE_MSG,Opomba
PROD_SHIPPING_MSG,Dostava
PROD_WEIGHT_MSG,Teža
PROD_DOWNLOAD_COLUMN,Povezava
PROD_TITLE_COLUMN,Izdelek
PROD_CODE_MSG,"Koda izdelka"
PROD_QTY_COLUMN,Količina
PROD_PRICE_COLUMN,Cena
PROD_TOTAL_COLUMN,Znesek
PROD_TAX_TOTAL_COLUMN,Skupaj
GOODS_TOTAL_MSG,"Skupni znesek:"
PAYMENT_AMOUNT_MSG,"Znesek plačila"
TOTAL_DISCOUNT_MSG,"Skupni znesek popustov"
GOODS_WITH_DISCOUNT_MSG,"Končni stroški s popusti"
SHIPPING_TRACKING_NUMBER_MSG,"Treking - številka za sledenje dostave"
SHIPPING_COMPANY_MSG,"Transportno podjetje"
SHIPPING_EXPECTING_MSG,"Predviden čas nakupa"
SELECT_SHIPPING_METHOD_MSG,"Izbira dostave"
SHIPPING_METHOD_MSG,"Način dostave"
PROCESSING_FEE_MSG,"Pristojbina za obdelavo"
MY_PRODUCTS_MSG,"Moji izdelki za prodajo"
MY_PRODUCTS_DESC,"S tem razdelkom lahko svoje izdelke objavljate na našem spletnem mestu."
EDIT_PRODUCT_MSG,Urediti
ORDER_STEP_ONE_MSG,"Korak 1. Osebni podatki"
ORDER_STEP_TWO_MSG,"Korak 2. Podatki o plačilu"
ORDER_STEP_THREE_MSG,"Korak 3. Potrditev naročila"
PROD_NEW_ERROR,"Nimate pravic za dodajanje blaga"
PROD_EDIT_ERROR,"Nimate dovoljenja za urejanje izdelka."
PROD_DELETE_ERROR,"Nimate dovoljenja za brisanje izdelka"
PROD_DELETE_CONFIRM_MSG,"Ali želite izbrisati ta izdelek?"
PROD_ACTIVE_MSG,Aktivni
PROD_GENERAL_TAB,Splošni
PROD_DOWNLOADABLE_TAB,"Digitalni izdelki"
PROD_SPECIAL_OFFER_TAB,"Posebna ponudba"
PROD_RECURRING_TAB,"Rekurzivna plačila"
PROD_NOTIFICATION_TAB,Obvestilo
PROD_NOTES_TAB,Opombe
PROD_GENERAL_INFO_MSG,"Splošni podatki o izdelku"
PROD_SHOWN_MSG,"Na voljo za prodajo"
PROD_ORDER_MSG,"Naročilo izdelka"
PROD_TYPE_MSG,"Vrsta izdelka"
PROD_TYPE_NOTE,"Pozor: ko izberete vrsto ""Gift Voucher"" bo sistem samodejno ustvaril darilni kupon, ko izberete vrsto ""Bundle"" določite podkomponente za izdelek, ker bodo v naročilu vidne samo one"
PROD_NAME_MSG,"Ime izdelka"
PROD_MANUFACTURER_MSG,Proizvajalec
PROD_ISSUE_DATE_MSG,"Datum objave"
PROD_ADDITIONAL_OPTIONS_MSG,"Dodatne Opcije"
PROD_ALLOWED_COMPARISON_MSG,"Dovoliti primerjavo"
PROD_TAX_FREE_MSG,"Neobdavčen izdelek"
PROD_LANGUAGE_DESC,"Prikazati izdelek samo za izbrani jezik"
PROD_PRICING_MSG,Cene
PROD_CHANGE_PRICE_MSG,"Dovoliti kupcu, da spremeni ceno"
PROD_LIST_PRICE_MSG,"Osnovna cena"
PROD_DISCOUNT_PRICE_MSG,"Cena s popustom"
PROD_ACTIVATE_DISCOUNT_MSG,"Aktivirati popust"
PROD_TRADE_PRICE_MSG,"Veleprodajna cena"
PROD_DISCOUNT_TRADE_MSG,"Veleprodajna cena s popustom"
PROD_BUYING_PRICE_MSG,"Cena nakupa"
PROD_SHOWN_DISCOUNT_MSG,"Pokazan popust (%)"
PROD_OPTIONS_PRICE_MSG,"Cena opcij"
PROD_OPTIONS_PRICE_DESC,"to polje uporabite za prikaz cene skupaj s stroški opcije za bloke, kjer opcije niso na voljo za izbiro"
PROD_PRICE_PREVIEW_MSG,"Predogled cene (ogled na strani izdelka)"
PROD_APPEARANCE_MSG,Videz
PROD_LANGUAGE_MSG,Jezik
CUSTOM_TEMPLATE_MSG,"Predloga po meri"
ON_PROD_LIST_MSG,"na seznamu izdelkov"
ON_PROD_DETAILS_MSG,"na strani s podrobnim opisom"
ON_TABLE_VIEW_MSG,"na seznamu ogledov tabele"
ON_GRID_VIEW_MSG,"na strani za prikaz omrežja"
ON_SEPARATE_PAGE_MSG,"na ločeni strani"
ON_CHECKOUT_PROCESS_MSG,"pri oddaji naročila"
PROD_PREVIEW_URL_MSG,"URL za predogled (povezava, ki odpira ločeno okno)"
CONDITION_MSG,Stanje
CONDITIONS_MSG,Stanja
STOCK_LEVEL_MSG,"Količina na skladišču"
IN_STOCK_MSG,"Na skladišču"
OUT_OF_STOCK_MSG,"Ni na skladišču"
LOW_STOCK_MSG,"Najmanjša zaloga"
PROD_STOCK_MSG,"Skladišče izdelka"
USE_STOCK_MSG,"Hraniti računovodstvo blaga"
STOCK_QUANTITY_MSG,"Količina na skladišču"
HIDE_OUT_STOCK_MSG,"Skriti izdelke, ki niso na zalogi"
HIDE_OUT_STOCK_DESC,"ne prikazovati izdelkov, ki niso na voljo na strani"
DISABLE_OUT_STOCK_MSG,"Prepovedati naročanje manjkajočih izdelkov"
DISABLE_OUT_STOCK_DESC,"Prepovedati gumb '<b>{ADD_TO_CART_MSG}</b>' če izdelka ni na skladišču"
IN_STOCK_AVAILABILITY_MSG,"Dostava pri zalogi na skladišču"
IN_STOCK_AVAILABILITY_DESC,"Povprečni čas dostave pri razpoložljivosti izdelka na sklagišču"
OUT_STOCK_AVAILABILITY_MSG,"Dostave pri pomanjkanju na skladišču"
OUT_STOCK_AVAILABILITY_DESC,"Povprečni čas dostave pri razpoložljivosti izdelka na sklagišču"
SHIPPING_RESTRICTIONS_MSG,"Omejitve dostave"
PROD_OFFER_ACTIVATE_MSG,"Dodati izdelek v blok ""Posebne ponudbe"""
PROD_RATING_MSG,"Ocena izdelka"
PROD_DIRECT_LINK_MSG,"Neposredna povezava za nakup izdelka"
PRODUCTS_REPORT_MSG,"Seznam izdelkov"
MERCHANT_SALES_MSG,"Plačila za prodane izdelke"
MERCHANT_SALES_DESC,"Tukaj si lahko ogledate nakopičena plačila za Vaši prodani izdelki."
AFFILIATE_SALES_MSG,"Partnerske prodaje"
AFFILIATE_SALES_DESC,"Kliknite tukaj, če si želite ogledati seznam prodaje svojih partnerjev in preveriti skupno število provizij."
COMMISSION_PAYMENTS_MSG,"Obračunane provizije"
COMMISSION_PAYMENTS_DESC,"Podatki o nakopičenem blagu, vendar še niso plačani proviziji."
PAYMENT_NAME_COLUMN,"Ime plačila"
PAYMENT_TOTAL_COLUMN,Skupaj
PAYMENT_DATE_COLUMN,"Datum plačila"
NO_COMMISSION_PAYMENTS_MSG,"Ni plačila provizije"
COMMISSIONS_MSG,Provizije
COMMISSION_AMOUNT_COLUMN,"Prostornina provizije"
COMMISSION_DATE_COLUMN,"Datum provizije"
NO_COMMISSIONS_MSG,"Provizij ni bilo mogoče najti"
AFFILIATE_MSG,Partner
MERCHANT_MSG,Prodajalec
CONTACT_MERCHANT_TITLE,"Kontaktirati se s prodajalcem"
PROD_SORT_BY_MSG,Razvrstiti
PROD_SORT_DEFAULT_MSG,Privzeto
PROD_SORT_MANUFACTURER_MSG,Proizvajalec
PROD_SORT_CODE_MSG,Koda
PROD_MOST_POPULAR_MSG,"Najbolj priljubljen"
PROD_FIELDS_TAB,"Nastavitve polj"
PROD_TERMS_TAB,"Časovne omejitve"
PROD_SHOW_TERMS_MSG,"Prikazati besedilo Pravil in Pogojev"
PROD_SHOW_TERMS_DESC,"Za potrditev mora uporabnik prebrati in sprejeti naše pogoje in sporazume."
PROD_TERMS_USER_ERROR,"Za dokončanje, morate prebrati in sprejeti naša pravila in pogoje"
MERCHANT_PRODUCTS_LIMIT_MSG,"Število izdelkov, ki jih lahko doda prodajalec"
MERCHANT_PRODUCTS_LIMIT_DESC,"Pustite to polje prazno, če ni potrebno omejiti števila izdelkov, ki jih je dodal prodajalec"
MERCHANT_PRODUCTS_LIMIT_ERROR,"Ne morete dodati več kot {products_limit} izdelkov."
FEES_COMMISSIONS_MSG,"Pristojbine in provizije"
DISCOUNTS_FEES_COMMISSIONS_MSG,"Plačilo, popusti in provizija"
DISCOUNT_MSG,Popust
MERCHANT_FEE_MSG,"Odbitki prodajalca"
AFFILIATE_COMMISSION_MSG,"Partnerske provizije"
NO_OPTIONS_AVAILABLE_MSG,"Opcije in komponente niso na voljo"
OPTION_MSG,Opcija
SUBCOMPONENT_MSG,Podkomponenta
SUBCOMPONENT_SELECTION_MSG,"Komponente za izbiro uporabnikov"
ADD_SUBCOMPONENT_MSG,"Dodati podkomponento"
ADD_SUBCOMPONENT_SELECTION_MSG,"Dodati izbiro podkomponentov"
EDIT_OPTION_MSG,"Urediti opcijo"
OPTION_ORDER_MSG,"Številka opcije"
OPTION_NAME_MSG,"Ime opcije"
OPTION_HINT_MSG,"Opcija Namig"
OPTION_HINT_DESC,"Prikaže se namesto imena opcije"
OPTION_CONTROL_MSG,"Opcija Nadzor"
CONTROL_TYPE_USE_DESC,"Za <b> zastave </b>, <b> spustne sezname </b> in <b> radijske gumbe </b> dodajte vrednosti v polja z vrednostmi opcije "
OPTION_TEXT_MSG,"Besedilo opcije"
OPTION_STYLE_MSG,"Slog opcije"
OPTION_STYLE_NOTE,"Uporabite CSS za spremembo videza opcije."
SHOW_OPTION_MSG,"Pokazati opcije"
OPTION_REQUIRED_MSG,"Obvezna za izbiro uporabnika"
OPTIONS_APPEARANCE_MSG,"Videz opcije"
CONTROL_STYLE_MSG,"Slog elementa upravljanja"
CONTROL_STYLE_NOTE,"Uporabite CSS za spremembo videza elementa upravljanja"
BEFORE_TITLE_HTML_MSG,"HTML pred naslovom"
BEFORE_TITLE_HTML_NOTE,"ta HTML bo pred imenom opcije"
BEFORE_TITLE_COMPONENT_NOTE,"ta HTML bo pred imenom komponente"
AFTER_TITLE_HTML_MSG,"HTML po naslovu"
AFTER_TITLE_HTML_NOTE,"ta HTML bo po imenu opcije"
AFTER_TITLE_COMPONENT_NOTE,"ta HTML bo po imenu komponente"
BEFORE_CONTROL_HTML_MSG,"HTML pred elementom upravljanja"
BEFORE_CONTROL_HTML_NOTE,"ta HTML bo pred vsakim elementom upravljanja"
BEFORE_CONTROL_COMPONENT_NOTE,"ta HTML bo pred vsakim elementom upravljanja komponente"
AFTER_CONTROL_HTML_MSG,"HTML po elementu upravljanja"
AFTER_CONTROL_HTML_NOTE,"ta HTML bo po vsakem elementu upravljanja opcije"
AFTER_CONTROL_COMPONENT_NOTE,"ta HTML bo po vsakim elementom upravljanja komponente"
END_HTML_MSG,"HTML končnice"
END_HTML_NOTE,"ta HTML bo na koncu bloka opcije"
END_COMPONENT_NOTE,"ta HTML bo na koncu bloka komponente"
JAVASCRIPT_SETTINGS_MSG,"Nastavitve JavaScript"
JAVASCRIPT_TYPE_MSG,"Tip JavaScript"
ONCHANGE_EVENT_MSG,"OnChange Dogodek"
ONCLICK_EVENT_MSG,"Notranja koda objekta"
ONMOUSEOVER_EVENT_MSG,"OnMouseOver Dogodek"
CONTROL_CODE_MSG,"Koda elementa upravljanja"
OPTIONS_VALUES_MSG,"Vrednosti opcije"
DESCRIPTION_AND_CODE_MSG,"Opis in koda"
NON_SPACE_LETTERS_ALLOWED_MSG,"Dovoljena količina simboli"
NON_SPACE_PERLINE_ALLOWED_MSG,"dovoljena količina simboli na vsako vrstico"
SELLING_MSG,"Osnovna cena (lahko s + ali -)"
PERCENTAGE_MSG,Odstotek
OPTION_PERCENTAGE_PRICE_DESC,"Lahko določite ceno opcije v odstotkah od stroškov izdelka, vključno z znakom minus."
PERCENTAGE_PRICE_TYPE_MSG,"Vrsta odstotne cene"
FROM_PRODUCT_PRICE_MSG,"od cene izdelka"
FROM_OTHER_OPTION_MSG,"iz druge opcije"
BUYING_MSG,Nakup
USE_MSG,Uporabiti
ACTIVATE_STOCK_CONTROL_MSG,"Preveriti zalogo na skladišču"
ACTIVATE_CONTROL_CHECKBOX_MSG,"Označite to zastavo, da bi preveriti alogo na skladišču"
CHECK_STOCK_USE_MSG,"Aktivirajte Оmejitve pred uporabo opcije Skriti manjkajoče izdelke"
HIDE_MSG,Skriti
HIDE_IF_OUT_STOCK_MSG,"Skriti, če ni na skladišču"
HIDE_OPTION_VALUE_DESC,"Označite to zastavo, da bi skriti opcijo, če jo ni na skladišču"
PATH_MSG,Pot
PERIOD_MSG,Obdobje
DOWNLOADABLE_OPTIONS_MSG,"Opcije digitalnih izdelkov"
ADD_MORE_OPTIONS_QST,"Dodati več polj?"
EDIT_SUBCOMP_MSG,"Urediti podkomponente"
SUBCOMP_ID_MSG,"ID podkomponente"
SUBCOMP_NAME_MSG,"Ime podkomponente"
SUBCOMP_PRICE_MSG,"Cena podkomponente"
SUBCOMP_PRICE_NOTE,"Tukaj si lahko spremenite osnovno ceno izdelka"
OVERRIDE_PRICE_MSG,"Druga cena"
BASE_PRICE_MSG,"Osnovna cena"
SELLING_PRICE_MSG,"Prodajna cena izdelka"
TRADE_SELLING_PRICE_MSG,"Tržna prodajna cena"
PERCENTAGE_PRICE_MSG,"Cena v %"
EDIT_SUBCOMP_SELECTION_MSG,"Urediti izbiro komponentov"
COMPONENT_ORDER_MSG,"Številka komponente"
COMPONENT_NAME_MSG,"Ime komponente"
COMPONENT_CONTROL_MSG,"Vrsta za izbiro komponente"
COMPONENT_CONTROL_DESC,"Element upravljanja za navedbo dodatnih podkomponentov"
COMPONENT_STYLE_MSG,"Slog komponente"
USE_CSS_TO_CHANGE_MSG,"Uporabite CSS za spremembo videza bloka komponente"
SHOW_COMPONENT_MSG,"Pokazati komponento"
COMPONENT_REQUIRED_MSG,"Obvezno za izbiro uporabnikom"
COMPONENT_APPEARANCE_MSG,"Videz komponente"
LIST_OF_SUBCOMPONENTS_MSG,"Seznam podkomponentov"
ADD_MORE_SUBCOMP_QST,"Dodati podkomponente?"
PRODUCT_SELECTION_MSG,"Nabor izdelkov"
SELECT_PRODUCT_MSG,Izdelek/Storitev
PRODUCT_ID_MSG,"ID izdelka"
POINTS_MSG,Bonusi
