Koda,Besedilo
MANUALS_TITLE,Reference
NO_MANUALS_MSG,"Imenikov ni bilo mogoče najti"
NO_MANUAL_ARTICLES_MSG,"Ni najdenih člankov"
MANUALS_PREV_ARTICLE,"Prejšnja stran"
MANUALS_NEXT_ARTICLE,"Naslednja stran"
MANUAL_CONTENT_MSG,"Nazaj na seznam"
MANUALS_SEARCH_IN_MSG,"Iskati v"
MANUALS_SEARCH_FOR_MSG,Iskati
MANUALS_SEARCH_IN_FIRST_VARIANT,"Vsi imeniki"
MANUALS_SEARCH_RESULTS_INFO,"Najdeno {search_number} člankov(ek) za {search_results}"
MANUALS_SEARCH_RESULT_MSG,"Rezultati iskanja"
MANUALS_NOT_FOUND_ANYTHING,"Ničesar ni mogoče najti za '{search_string}'"
MANUAL_ARTICLE_NO_CONTENT_MSG,"Brez vsebine"
MANUALS_SEARCH_TITLE,"Iskati imenike"
MANUALS_SEARCH_RESULTS_TITLE,"Rezultati iskanja v imeniku"
